Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,PartNumber,Manufacturer,Remarks,Config,DNP
41,Dual operational amplifier,Opamp_Dual_Generic,U2,TLV9002,SOIC-8_3.9x4.9mm_Pitch1.27mm,1,,TLV9002IDR,Texas Instruments,Alternatives: MCP6002T-I/SN or TLV6002IDR,,





Component Groups:,43
Component Count:,112
Fitted Components:,108
Number of PCBs:,1
Total components:,108
Schematic Version:,0.2
Schematic Date:,2019-03-05
BoM Date:,Mi 13 Mr 2019 10:07:07 CET
Schematic Source:,/home/martin/LibreSolar/2_Development/04_Hardware/PWM-Charger_20A/pwm_charger_20a.sch
KiCad Version:,Eeschema 5.0.1
